Format_Name,Standardized_Format_Name,Format_Type
WordPerfect Document Backup,WordPerfect,text
Wordperfect Secondary File,WordPerfect,text
"X11 SNF font data, LSB first",X11 SNF font data,application
"X11 SNF font data, MSB first",X11 SNF font data,application
x86 boot sector,X86 boot sector,application
XHTML,XHTML,structured_text
XLSM,Microsoft Excel,spreadsheet
XLSX,Microsoft Excel,spreadsheet
XLT,Microsoft Excel,spreadsheet
xml,XML,structured_text
xmp,Extensible Metadata Platform Format,application
XSL Transformations,XSL,structured_text
ZIP Format,ZIP Format,archive
